isin,buyvolume,sellvolume
isin1566,1236779.2117960679,1293562.1186986784
isin1585,1251887.8766356201,1315800.385686951
isin1586,1032277.2588548827,1069325.9688719923
isin1588,1245188.7392907343,1305644.1211374176
isin2010,1205538.5652823688,1254501.3512709851
isin16166,1142690.2033841505,1167688.9741418073
isin16176,1242521.0009774673,1305742.8827955616
isin16179,1230287.1013408077,1292554.9687762833
isin16180,1238376.7762961702,1301139.4007681005
isin16182,1239816.2976879075,1291634.3943794912
isin16186,1244270.1464958936,1309352.248328666
isin16201,1054841.4428962476,1096148.406964662
isin16202,1152915.0500577965,1210994.1342912442
isin16203,1248766.2313378402,1312470.6285908089
isin16207,1245851.9905100015,1309108.5554915601
isin16216,1260972.209463459,1324258.4187912708
isin16217,1262919.4856016079,1326362.1450879727
isin16218,1255265.0374938138,1316712.3605707674
isin16219,1246596.2964446333,1307742.0987152571
isin17170,1234438.8222684362,1296328.5076906343
isin2827,393714.23950165027,361234.27198908071
isin2835,508665.40223237022,469934.00671929563
isin2836,502774.80977205868,463134.11000358104
isin2837,508911.15685430274,470116.65592933685
isin2838,502726.68416825205,462961.77369897644
isin3040,502334.05987847265,464968.82560815162
isin3041,497072.98648956383,460403.08646724519
isin3042,488698.61845063732,451252.58658039779
isin3043,496674.42311725463,459297.09292098321
isin3044,494099.6915925924,458385.12347293808
isin6116,497461.3419333566,457245.19032380555
isin6117,506244.34670663264,467110.03405429865
isin6118,506720.83316605364,467324.95718847209
isin6119,497476.5466537007,457574.216730566
isin8766,467698.89218329289,427963.43136312783
isin10569,457764.47286662942,420140.6535892266
isin5659,2664368.8151883241,2896295.4998522573
isin5660,2665884.3350196485,2899068.616043855
isin5662,2691846.8001448852,2926483.1908157412
isin5663,2674490.3315767106,2907675.4400812979
isin5664,2672531.9772616192,2905058.1661642375
isin5668,2658506.0787266218,2888569.8510449952
isin5671,2678920.7992266435,2911524.4956510188
isin5673,2678902.1102179489,2912506.3836952988
isin5675,2665490.1798555343,2898175.4146380532
isin5676,2658670.0545638208,2889792.4368556859
isin7370,2465854.0035536792,2670161.9612650629
isin7371,2437672.3177535147,2639030.145368441
isin8243,2635797.7735689948,2850466.136559038
isin8244,2598200.6576569807,2809390.1283272635
isin8249,2666407.1451453925,2883419.9845451745
isin8250,2645129.9447700316,2860005.1893793554
isin8251,2687485.7761892295,2905357.8851848757
isin8252,2679280.4415791165,2897135.2811061586
isin8254,2697918.5497522769,2917809.403722547
isin8896,2489436.5137575497,2700462.3065622826
isin8897,2552033.9408368664,2769159.0797396409
isin8898,2539331.771859318,2754947.9944346952
isin9506,2515036.596798691,2721059.2995969504
isin296,1242968.3988130721,1203189.0809217147
isin371,1358744.6577126265,1334120.2771438055
isin680,1353959.1339967248,1327331.1412135058
isin681,1351986.2306192673,1325027.7516202852
isin1301,1195575.5946125744,1163734.683897689
isin1326,1389362.6957816596,1352558.0515608368
isin2029,1261204.763918529,1237208.0514982499
isin2392,1389055.5710048897,1360342.6669288168
isin2393,1386488.5812744224,1357989.4626697807
isin2707,1342362.1618458116,1309903.4003003917
isin3273,1263854.3577244275,1238487.539052875
isin3652,1377460.5474131308,1345024.5258806197
isin4014,1342042.0080231966,1313194.0494060337
isin12540,1395394.9817709692,1362882.5515722309
isin5212,2338582.6898352485,2252910.8890563995
isin6630,2277372.6698378129,2201339.9331746581
isin7541,2400189.9444050854,2313925.5338266143
isin8057,2381535.6135676671,2295424.3551397179
isin8058,2387500.3542042165,2301178.6596972779
isin8059,2385439.3508898956,2299495.5562216328
isin9128,2459312.808147707,2364064.234735792
isin9129,2457375.0670693549,2362384.0736734811
isin10598,2403282.8305102414,2317087.4524587402
isin10684,2311852.752709006,2221028.5428642305
isin11152,2400083.0622844095,2312772.7937928895
isin11153,2412698.3952728794,2324422.8730876143
isin11841,2057682.4484800748,1976163.2518212378
isin11957,2245831.349369186,2162972.7103685932
isin11958,2403198.1803442733,2309126.8080407106
isin11959,2402904.4659321117,2308677.9264310948
isin12095,2328649.840162578,2239437.346534756
isin12386,2197608.1746673458,2108193.8709913576
isin12387,2196993.4413094134,2107586.3156255824
isin12426,1442282.7907041677,1385913.5691748525
isin13389,2175921.3572592237,2099735.187721095
isin13390,2168869.5634446065,2092813.5724634591
isin13392,2184758.0783084459,2108513.5475653382
isin17315,1825932.2315814272,1760120.1891066013
isin6850,4272762.4819545206,4643490.6635158602
isin6952,4258194.5307012172,4629226.8394277859
isin7176,4218335.115323917,4585052.9933115691
isin7177,4167410.7606413672,4528440.0018777335
isin7352,4149420.7653239071,4508344.2874969309
isin7789,3946955.216301288,4288259.3947779583
isin7790,4059675.6207420002,4411068.8540384434
isin7791,4129993.6079968908,4487759.1040224051
isin7792,4132374.7591652949,4489946.0751708709
isin7793,4145222.6517225853,4504272.0604030648
isin8020,4317293.3471673932,4692731.6988017661
isin8021,4317293.3471673932,4692731.6988017661
isin8123,4383257.2200270584,4763676.3654078748
isin8133,4330547.3355130935,4707158.7404772677
isin8134,4416686.7588348435,4800290.9221845679
isin8143,4420232.6473653493,4803737.2210910833
isin8198,4058932.4596054167,4408398.9511416601
isin8202,4136025.3341362532,4492497.7194002233
isin8203,4053318.0696266806,4404898.9032498542
isin8500,3938861.2036870616,4276198.5060759503
isin8804,4186126.4059176622,4544371.9561264506
isin8805,4208725.3748096628,4569304.0092028873
isin8813,3954525.8796636537,4295125.1612053625
isin8814,3972032.358133784,4311090.6409539813
isin8816,4027385.7383210044,4372147.7511830945
isin8960,4408088.7993888715,4789059.4742837101
isin8961,4420642.3958941996,4803099.5077646505
isin9198,4003727.4495744053,4350444.1921247607
isin9199,4351774.5331767956,4728995.605769461
isin9803,4408861.7815982439,4789614.8280361379
isin9804,4007394.4094997998,4350812.2874534503
isin9875,4014116.3755086553,4357353.0880960273
isin9879,4404630.4226851864,4784465.1205475871
isin9962,4408491.0819723066,4789583.7236278262
isin10496,3788334.2036936432,4113453.4849920059
isin10497,4164332.9093036116,4521196.1684186645
isin10732,3956440.4524363941,4293283.6245070975
isin15798,4433321.840059584,4816724.7428674102
isin15799,4317582.8048683908,4693483.9667843729
isin16097,4324686.032939068,4702235.8563253731
isin17191,4034495.7614376754,4384987.6956448117
isin17193,4370257.6997647993,4751104.0846944312
isin17322,4053799.3807515297,4404905.4976315666
isin10964,257122.14271173731,203817.80404387365
isin11951,260244.56328719007,205409.36266028977
isin11952,276486.23607419629,218559.22525123745
isin11953,278547.4510716605,220553.18824453969
isin12150,275490.06208713999,217950.56461893619
isin12152,264201.96944051242,208890.82084519387
isin12153,266041.88721319119,210716.99457202715
isin14402,281241.14578716859,223890.01737445442
isin3730,4820176.0443694545,4698374.358746984
isin5483,4716562.2265407955,4595607.8593977122
isin6071,5143789.4205004508,5011756.6891070604
isin6072,4859299.4103151644,4729693.2726854421
isin6073,5148320.7942863582,5015997.5127276136
isin6074,5067501.9029796207,4935963.9153850237
isin6075,4909552.1076481547,4778605.9694449548
isin6076,4919483.953339071,4788287.9654480685
isin6077,4904478.9530432988,4773749.5390084023
isin6078,5116164.5780505566,4983692.6259274241
isin6079,4886236.2816881007,4755726.6852764077
isin6080,5149621.266020366,5016862.1094343532
isin7534,4747946.3614951065,4631133.512061391
isin7629,4977164.9605155559,4849837.4418175397
isin8591,4913316.5009938935,4788620.986086417
isin8592,4801594.4809233733,4678648.1054657279
isin8593,4907432.523577881,4782743.1235604137
isin15473,4882632.3185194926,4764503.3635463612
isin15483,4872191.4998812359,4752122.8127161358
