isin,time,price,side,volume,timeofday,date
isin10033,Mon 16May16 02:51:27.000 pm,117.36361835280748,S,730000,Afternoon,16May2016
isin10033,Mon 16May16 03:45:52.000 pm,115.71532940722403,B,730000,Afternoon,16May2016
isin10033,Wed  6Apr16 08:24:07.000 am,115.29645038674539,B,5000,Morning, 6Apr2016
isin10033,Wed  6Apr16 08:24:07.000 am,115.29645038674539,B,5000,Morning, 6Apr2016
isin10033,Wed  6Apr16 08:25:00.000 am,115.55824977454455,S,5000,Morning, 6Apr2016
isin10033,Fri 22Apr16 11:13:28.000 am,122.5880869357273,S,40000,Morning,22Apr2016
isin10033,Fri 22Apr16 11:13:28.000 am,122.5880869357273,S,40000,Morning,22Apr2016
isin10033,Thu 19May16 09:00:03.000 am,123.52951753425306,S,20000,Morning,19May2016
isin10033,Mon 18Apr16 12:44:32.000 pm,115.15507871733386,B,5000,Afternoon,18Apr2016
isin10033,Mon 18Apr16 12:44:32.000 pm,115.15507871733386,B,5000,Afternoon,18Apr2016
isin100,Fri 25Mar16 11:46:33.000 am,104.83997339853714,B,210000,Morning,25Mar2016
isin100,Mon  6Jun16 11:40:18.000 am,104.88112826229916,B,310000,Morning, 6Jun2016
isin100,Thu  9Jun16 10:14:39.000 am,104.84541882580336,S,210000,Morning, 9Jun2016
isin10272,Wed 23Mar16 11:43:48.000 am,109.6939434878436,S,3900000,Morning,23Mar2016
isin10272,Wed 23Mar16 11:45:15.000 am,109.6939434878436,S,3900000,Morning,23Mar2016
isin10272,Wed 23Mar16 12:02:36.000 pm,109.58922373272395,B,3900000,Afternoon,23Mar2016
isin10272,Wed 23Mar16 02:55:23.000 pm,109.6939434878436,S,3900000,Afternoon,23Mar2016
isin10272,Wed 23Mar16 03:56:50.000 pm,109.19128866326923,B,20000,Afternoon,23Mar2016
isin10272,Mon 28Mar16 10:40:46.000 am,108.90854532444615,B,420000,Morning,28Mar2016
isin10272,Mon 28Mar16 04:33:25.000 pm,109.17034471224531,B,1050000,Afternoon,28Mar2016
isin10272,Mon 28Mar16 04:33:38.000 pm,109.30124440614487,S,1050000,Afternoon,28Mar2016
