isin,buyvolume,sellvolume
isin1492,0.0,0.0
isin1612,0.0,0.0
isin1631,0.0,0.0
isin1643,0.0,0.0
isin1644,0.0,0.0
isin1645,0.0,0.0
isin1652,0.0,0.0
isin1721,0.0,0.0
isin1731,0.0,0.0
isin1746,0.0,0.0
isin1755,0.0,0.0
isin1757,0.0,0.0
isin1832,0.0,0.0
isin1854,0.0,0.0
isin1867,0.0,0.0
isin1955,0.0,0.0
isin1956,0.0,0.0
isin2051,0.0,0.0
isin2058,0.0,0.0
isin2071,0.0,0.0
isin2086,0.0,0.0
isin2102,0.0,0.0
isin2107,0.0,0.0
isin2118,0.0,0.0
isin2120,0.0,0.0
isin2127,0.0,0.0
isin2139,0.0,0.0
isin2148,0.0,0.0
isin2152,0.0,0.0
isin2165,0.0,0.0
isin2286,0.0,0.0
isin2971,0.0,0.0
isin3159,0.0,0.0
isin3320,0.0,0.0
isin3560,0.0,0.0
isin3563,0.0,0.0
isin3564,0.0,0.0
isin3572,0.0,0.0
isin3576,0.0,0.0
isin3581,0.0,0.0
isin3585,0.0,0.0
isin3591,0.0,0.0
isin3595,0.0,0.0
isin3598,0.0,0.0
isin3605,0.0,0.0
isin3608,0.0,0.0
isin4177,0.0,0.0
isin4288,0.0,0.0
isin4290,0.0,0.0
isin4294,0.0,0.0
isin4295,0.0,0.0
isin4312,0.0,0.0
isin4322,0.0,0.0
isin4347,0.0,0.0
isin4673,0.0,0.0
isin4676,0.0,0.0
isin4713,0.0,0.0
isin4716,0.0,0.0
isin4751,0.0,0.0
isin4754,0.0,0.0
isin4755,0.0,0.0
isin4905,0.0,0.0
isin4906,0.0,0.0
isin5003,0.0,0.0
isin5090,0.0,0.0
isin5092,0.0,0.0
isin5975,0.0,0.0
isin5982,0.0,0.0
isin5986,0.0,0.0
isin5998,0.0,0.0
isin6000,0.0,0.0
isin6034,0.0,0.0
isin6041,0.0,0.0
isin6292,0.0,0.0
isin6329,0.0,0.0
isin6338,0.0,0.0
isin6349,0.0,0.0
isin6393,0.0,0.0
isin6401,0.0,0.0
isin6403,0.0,0.0
isin6410,0.0,0.0
isin6429,0.0,0.0
isin6433,0.0,0.0
isin6465,0.0,0.0
isin6470,0.0,0.0
isin6474,0.0,0.0
isin6492,0.0,0.0
isin6495,0.0,0.0
isin6508,0.0,0.0
isin6589,0.0,0.0
isin6699,0.0,0.0
isin6703,0.0,0.0
isin6710,0.0,0.0
isin6718,0.0,0.0
isin6720,0.0,0.0
isin6727,0.0,0.0
isin6728,0.0,0.0
isin6734,0.0,0.0
isin6747,0.0,0.0
isin6748,0.0,0.0
isin6754,0.0,0.0
isin6765,0.0,0.0
isin6798,0.0,0.0
isin6801,0.0,0.0
isin6807,0.0,0.0
isin6814,0.0,0.0
isin6823,0.0,0.0
isin6837,0.0,0.0
isin6846,0.0,0.0
isin6867,0.0,0.0
isin6898,0.0,0.0
isin6917,0.0,0.0
isin6919,0.0,0.0
isin6925,0.0,0.0
isin6932,0.0,0.0
isin6935,0.0,0.0
isin6945,0.0,0.0
isin6949,0.0,0.0
isin6962,0.0,0.0
isin6963,0.0,0.0
isin6968,0.0,0.0
isin6972,0.0,0.0
isin6976,0.0,0.0
isin6985,0.0,0.0
isin7002,0.0,0.0
