isin,buyvolume,sellvolume
isin1566,1832199782.9426007,1932602159.6503263
isin1585,2385914979.4653926,2499283202.5443974
isin1586,2297279305.0538373,2380165472.9356823
isin1588,1956414923.5207434,2080797925.5833778
isin2010,2347918260.5830235,2423423801.9976625
isin16166,2333868510.705636,2410850173.44232
isin16176,2095047201.0103765,2208756412.4530344
isin16179,2042667827.9289746,2104391935.1237526
isin16180,1947285331.8955357,2077913976.1796489
isin16182,1937432597.0000954,2013594692.2291627
isin16186,2222084273.097592,2336069495.602436
isin16201,2046438744.491231,2183928950.9190555
isin16202,2235553482.1638746,2364933209.0027485
isin16203,2130038095.9529548,2211829489.7504735
isin16207,2217399260.8530765,2361381797.475624
isin16216,1946352070.66907,2077915432.1590576
isin16217,2079476588.6881921,2213664213.597601
isin16218,2118335456.613851,2173055597.912039
isin16219,1981096439.2085423,2053178427.3291888
isin17170,2081117140.3844428,2201470536.867509
isin2827,825068923.8620491,767024604.7598923
isin2835,781490244.0703726,727463680.4083432
isin2836,781876899.208404,716198216.8243046
isin2837,775780626.0513477,734453516.8845712
isin2838,791143419.5931909,736893892.5816904
isin3040,876471780.4812024,812291606.4103743
isin3041,773059007.9082322,707159373.1704828
isin3042,735498485.2928666,692172736.7862587
isin3043,815619541.3859172,769731012.4883621
isin3044,860858154.4241111,798874316.8867111
isin6116,711769023.509861,669400292.461412
isin6117,927519071.6038116,881389881.8886284
isin6118,883212626.0180972,810810428.3645196
isin6119,780978082.9195371,734411797.9358168
isin8766,864207996.3557878,818079891.7070937
isin10569,804556991.3846571,757748304.7477268
isin5659,4151257659.744002,4677417809.688273
isin5660,3885519531.988263,4282058080.5594835
isin5662,4546614067.266668,5009561086.118073
isin5663,4218894189.2838573,4580804742.517441
isin5664,4249422934.5119033,4750811095.729422
isin5668,4007703446.447904,4366380769.356404
isin5671,4067654162.392274,4375120120.887539
isin5673,4132787740.8126516,4533106880.731371
isin5675,4286028852.149846,4619220772.093292
isin5676,4137885354.2337813,4533530979.436842
isin7370,4382502713.8839855,4803793469.722752
isin7371,3780678126.2818174,4164747865.32452
isin8243,4495209507.655813,4962104764.015997
isin8244,4485125153.395271,4936336447.589222
isin8249,3799489090.919016,4151052501.78171
isin8250,4228575601.7569113,4576996302.183456
isin8251,3829777444.9198484,4177273580.0533705
isin8252,4652338252.664013,5175323279.912599
isin8254,3970647664.9927616,4331501536.917098
isin8896,4222501111.0251946,4655955106.664662
isin8897,4550516913.254394,4936710469.7307625
isin8898,3904342076.8464947,4350491233.758027
isin9506,4120432984.861639,4559290729.950839
isin296,2310034112.032615,2308372254.1681356
